date,open,high,low,close,volume,factor
2023-01-31,14.16,14.26,14.12,14.21,57594.0,1.0
2023-02-01,14.23,14.57,14.21,14.52,107797.0,1.0
2023-02-02,14.52,14.72,14.45,14.5,115191.0,1.0
2023-02-03,14.46,14.78,14.44,14.77,156534.0,1.0
2023-02-06,14.65,14.88,14.6,14.86,112518.0,1.0
2023-02-07,14.85,15.29,14.81,15.03,179069.0,1.0
2023-02-08,15.08,15.23,14.88,14.94,109247.0,1.0
2023-02-09,14.82,17.27,14.78,17.07,728626.0,1.0
2023-02-10,17.3,19.07,17.28,18.28,1121163.0,1.0
2023-02-13,18.47,19.47,17.97,19.27,808182.0,1.0
2023-02-14,18.55,19.15,17.69,18.04,726352.0,1.0
2023-02-15,17.88,19.37,17.48,19.03,942258.0,1.0
2023-02-16,19.0,19.5,17.72,18.04,812579.0,1.0
2023-02-17,18.04,18.09,17.13,17.22,487395.0,1.0
2023-02-20,17.22,18.15,16.85,17.95,465367.0,1.0
2023-02-21,17.84,18.19,17.48,17.66,266359.0,1.0
2023-02-22,17.66,17.92,17.17,17.68,247058.0,1.0
2023-02-23,17.61,18.2,17.16,17.4,173627.0,1.0
2023-02-24,18.0,18.1,17.5,17.7,318294.0,1.0
2023-02-27,17.41,17.8,16.91,17.01,266255.0,1.0
2023-02-28,17.12,17.56,17.03,17.37,216908.0,1.0
2023-03-01,17.37,18.18,17.07,17.88,298830.0,1.0
2023-03-02,17.88,18.15,17.61,17.7,225922.0,1.0
2023-03-03,17.87,18.16,17.6,18.03,269756.0,1.0
2023-03-06,17.96,18.29,17.48,17.85,226019.0,1.0
2023-03-07,17.85,17.85,16.95,17.06,268481.0,1.0
2023-03-08,16.99,17.39,16.88,17.3,240963.0,1.0
2023-03-09,17.38,17.47,17.1,17.28,129877.0,1.0
2023-03-10,17.06,17.35,16.76,16.76,185788.0,1.0
2023-03-13,16.62,16.85,16.4,16.73,188334.0,1.0
2023-03-14,16.68,16.68,15.8,16.2,243924.0,1.0
2023-03-15,16.29,16.37,15.78,15.82,174702.0,1.0
2023-03-16,15.73,15.85,15.26,15.38,197810.0,1.0
2023-03-17,15.5,16.65,15.49,16.16,341888.0,1.0
2023-03-20,16.44,17.16,16.31,16.95,394066.0,1.0
2023-03-21,16.92,17.75,16.72,17.23,338482.0,1.0
2023-03-22,17.61,18.9,16.99,18.31,730131.0,1.0
2023-03-23,18.36,19.91,18.32,19.74,860227.0,1.0
2023-03-24,19.7,19.87,18.96,19.5,613723.0,1.0
2023-03-27,19.5,20.83,19.38,19.66,617655.0,1.0
2023-03-28,19.51,19.6,18.33,18.47,448423.0,1.0
2023-03-29,18.6,19.0,18.19,18.39,320068.0,1.0
2023-03-30,18.4,18.68,17.65,18.05,282728.0,1.0
2023-03-31,18.05,18.05,17.5,17.88,288368.0,1.0
2023-04-03,17.9,18.22,17.01,17.65,579642.0,1.0
2023-04-04,17.72,19.78,17.54,19.14,875208.0,1.0
2023-04-06,18.75,22.7,18.71,22.45,1260937.0,1.0
2023-04-07,22.01,22.01,20.5,21.18,917440.0,1.0
2023-04-10,20.82,21.36,19.75,19.97,696130.0,1.0
2023-04-11,20.0,20.44,19.6,19.96,613005.0,1.0
2023-04-12,19.78,20.92,19.41,20.48,836635.0,1.0
2023-04-13,20.4,20.4,18.99,19.15,703118.0,1.0
2023-04-14,19.0,19.54,18.51,19.37,472659.0,1.0
2023-04-17,19.59,19.64,18.91,19.16,349955.0,1.0
2023-04-18,19.22,20.23,18.81,19.94,514012.0,1.0
2023-04-19,19.88,21.5,19.82,20.77,876719.0,1.0
2023-04-20,21.25,22.3,20.7,21.69,845515.0,1.0
2023-04-21,21.73,21.73,20.1,20.7,675452.0,1.0
2023-04-24,20.67,21.72,20.53,21.12,567392.0,1.0
2023-04-25,21.02,21.08,19.79,19.98,526020.0,1.0
2023-04-26,19.72,19.98,17.56,17.76,756177.0,1.0
2023-04-27,17.52,18.51,17.26,17.47,454260.0,1.0
2023-04-28,16.83,19.0,16.83,18.51,515057.0,1.0
2023-05-04,18.05,18.32,16.95,17.1,408670.0,1.0
2023-05-05,17.1,17.72,16.46,16.62,392950.0,1.0
2023-05-08,16.71,17.24,16.43,17.08,323268.0,1.0
2023-05-09,17.08,18.16,16.9,17.17,488536.0,1.0
2023-05-10,17.13,17.23,16.43,16.7,334620.0,1.0
2023-05-11,16.85,17.12,16.59,16.8,239031.0,1.0
2023-05-12,16.85,17.03,16.15,16.25,282278.0,1.0
2023-05-15,16.1,16.4,15.81,16.36,190731.0,1.0
2023-05-16,16.17,16.46,15.84,16.03,201941.0,1.0
2023-05-17,15.85,16.42,15.85,16.24,167212.0,1.0
2023-05-18,16.25,18.1,16.25,17.55,575243.0,1.0
2023-05-19,17.78,18.79,17.61,18.64,645510.0,1.0
2023-05-22,18.37,19.2,18.11,18.71,506468.0,1.0
2023-05-23,18.61,20.4,18.61,19.57,787902.0,1.0
2023-05-24,19.17,20.96,19.17,20.14,808605.0,1.0
2023-05-25,22.2,22.72,19.2,20.07,1378859.0,1.0
2023-05-26,20.56,24.08,20.54,24.08,1699335.0,1.0
2023-05-29,25.0,27.26,24.62,25.49,1922923.0,1.0
2023-05-30,25.51,26.98,24.4,26.9,1652001.0,1.0
2023-05-31,27.3,29.63,26.66,28.0,1761338.0,1.0
2023-06-01,27.0,28.68,26.72,27.94,1379441.0,1.0
2023-06-02,28.79,29.29,26.5,26.5,1373129.0,1.0
2023-06-05,26.36,26.7,25.3,25.56,1249656.0,1.0
2023-06-06,25.54,26.11,24.63,24.8,946501.0,1.0
2023-06-07,24.75,25.48,24.38,24.86,1056293.0,1.0
2023-06-08,24.2,24.47,23.41,23.74,999374.0,1.0
2023-06-09,24.1,25.22,23.51,25.1,1206228.0,1.0
2023-06-12,25.6,26.91,24.95,25.66,1286133.0,1.0
2023-06-13,25.34,26.28,25.07,25.72,873427.0,1.0
2023-06-14,25.89,27.36,25.37,26.69,1193770.0,1.0
2023-06-15,26.8,27.29,25.28,25.5,1067457.0,1.0
2023-06-16,25.0,26.49,24.95,26.07,783942.0,1.0
2023-06-19,26.04,26.79,25.27,26.63,915202.0,1.0
2023-06-20,26.1,26.4,25.41,25.88,700966.0,1.0
2023-06-21,25.76,25.78,24.0,24.27,757717.0,1.0
2023-06-26,23.84,24.24,22.8,22.99,576361.0,1.0
2023-06-27,23.0,23.25,22.5,22.75,335723.0,1.0
2023-06-28,22.75,22.75,21.3,21.91,462746.0,1.0
2023-06-29,21.86,22.54,21.83,22.29,407410.0,1.0
2023-06-30,22.28,24.44,22.02,24.11,758635.0,1.0
2023-07-03,23.99,24.55,23.12,24.0,468440.0,1.0
2023-07-04,23.98,24.62,23.57,24.05,434917.0,1.0
2023-07-05,24.0,24.9,23.62,23.65,371975.0,1.0
2023-07-06,23.23,25.31,23.21,24.79,614005.0,1.0
2023-07-07,24.61,24.76,22.85,23.52,471581.0,1.0
2023-07-10,23.54,23.9,22.8,23.08,293719.0,1.0
2023-07-11,23.01,23.65,23.01,23.19,234933.0,1.0
2023-07-12,23.06,23.34,22.22,22.25,250057.0,1.0
2023-07-13,22.63,24.41,22.42,24.1,501210.0,1.0
2023-07-14,24.49,26.12,24.3,25.87,862241.0,1.0
2023-07-17,26.58,27.59,26.05,26.88,973708.0,1.0
2023-07-18,27.04,28.63,26.62,26.72,949343.0,1.0
2023-07-19,27.01,28.25,26.68,26.8,633241.0,1.0
2023-07-20,26.72,27.0,24.33,24.45,669640.0,1.0
2023-07-21,24.2,25.05,23.82,24.23,355021.0,1.0
2023-07-24,24.01,26.36,24.0,25.09,610827.0,1.0
2023-07-25,25.47,26.3,24.7,25.4,594636.0,1.0
2023-07-26,25.38,25.38,23.5,24.16,484614.0,1.0
2023-07-27,24.52,24.68,23.49,23.53,336332.0,1.0
2023-07-28,23.53,23.9,22.9,23.21,333555.0,1.0
2023-07-31,22.75,23.25,21.8,22.58,355545.0,1.0
2023-08-01,22.79,23.63,22.18,23.21,453760.0,1.0
2023-08-02,22.84,23.55,22.8,23.34,300364.0,1.0
2023-08-03,23.13,23.37,22.38,23.0,283412.0,1.0
2023-08-04,22.91,23.84,22.85,23.65,371817.0,1.0
2023-08-07,23.65,24.84,23.51,23.97,405032.0,1.0
2023-08-08,23.9,24.3,23.23,23.42,230717.0,1.0
2023-08-09,23.13,23.48,22.21,22.36,342290.0,1.0
2023-08-10,22.29,22.29,21.44,21.81,284677.0,1.0
2023-08-11,21.93,22.2,21.3,21.35,232169.0,1.0
2023-08-14,21.01,21.61,20.79,21.59,230872.0,1.0
2023-08-15,22.1,22.6,21.3,21.64,400574.0,1.0
2023-08-16,21.09,21.75,21.0,21.15,243465.0,1.0
2023-08-17,21.02,21.52,20.7,21.33,261138.0,1.0
2023-08-18,21.2,21.44,20.24,20.26,333990.0,1.0
2023-08-21,20.32,20.66,20.13,20.2,207048.0,1.0
2023-08-22,20.82,21.43,20.21,21.2,324156.0,1.0
2023-08-23,20.87,20.97,20.14,20.18,225668.0,1.0
2023-08-24,21.0,21.79,20.46,21.19,482760.0,1.0
2023-08-25,20.49,20.86,19.58,19.76,456188.0,1.0
2023-08-28,21.05,21.25,20.3,20.4,365014.0,1.0
2023-08-29,20.38,21.61,19.98,21.4,381696.0,1.0
2023-08-30,21.63,22.16,21.4,21.72,345546.0,1.0
2023-08-31,21.5,22.35,21.31,22.06,316091.0,1.0
2023-09-01,21.83,22.22,21.6,22.08,220925.0,1.0
2023-09-04,21.9,22.46,21.9,22.42,234917.0,1.0
2023-09-05,22.25,22.39,21.83,22.06,202820.0,1.0
2023-09-06,21.92,22.12,21.75,22.01,204149.0,1.0
2023-09-07,21.96,22.01,21.24,21.45,243677.0,1.0
2023-09-08,21.16,21.48,20.98,21.16,162718.0,1.0
2023-09-11,21.22,22.16,21.03,21.78,197977.0,1.0
2023-09-12,21.8,25.99,21.77,23.91,845952.0,1.0
2023-09-13,23.01,23.08,21.81,22.05,591156.0,1.0
2023-09-14,22.05,22.15,21.38,21.57,281220.0,1.0
2023-09-15,21.5,21.59,20.73,20.87,254111.0,1.0
2023-09-18,20.68,21.29,20.6,20.77,182383.0,1.0
2023-09-19,20.7,20.85,20.18,20.72,177325.0,1.0
2023-09-20,20.67,21.66,20.65,20.75,288513.0,1.0
2023-09-21,20.54,21.17,20.54,20.57,168776.0,1.0
2023-09-22,20.44,22.86,20.41,22.7,542598.0,1.0
2023-09-25,22.72,23.05,22.5,22.8,352091.0,1.0
2023-09-26,22.8,23.35,22.48,22.51,285975.0,1.0
2023-09-27,22.41,22.69,22.09,22.15,206250.0,1.0
2023-09-28,22.41,22.86,22.25,22.36,192017.0,1.0
2023-10-09,22.32,23.1,22.2,22.5,283680.0,1.0
2023-10-10,22.78,22.88,22.15,22.22,162753.0,1.0
2023-10-11,22.21,23.3,22.16,22.82,324522.0,1.0
2023-10-12,22.85,23.43,22.69,22.93,214947.0,1.0
2023-10-13,22.75,22.89,22.39,22.49,156343.0,1.0
2023-10-16,22.29,22.45,21.71,21.88,172984.0,1.0
2023-10-17,22.0,22.1,21.47,21.69,144727.0,1.0
2023-10-18,21.01,21.06,18.83,19.98,550637.0,1.0
2023-10-19,19.7,20.2,19.5,19.89,242253.0,1.0
2023-10-20,19.86,20.1,19.11,19.22,179588.0,1.0
2023-10-23,19.22,19.22,18.18,18.41,231106.0,1.0
2023-10-24,18.68,19.14,18.52,18.66,176450.0,1.0
2023-10-25,19.01,19.54,18.8,19.04,198041.0,1.0
2023-10-26,18.68,19.22,18.54,19.13,183814.0,1.0
2023-10-27,18.98,19.29,18.7,19.12,217391.0,1.0
2023-10-30,18.93,20.08,18.88,20.0,279392.0,1.0
2023-10-31,20.04,20.38,19.25,20.3,305605.0,1.0
2023-11-01,19.88,20.63,19.69,20.63,367456.0,1.0
2023-11-02,20.96,21.0,19.45,19.47,442575.0,1.0
2023-11-03,19.59,20.19,19.49,19.91,267779.0,1.0
2023-11-06,20.03,21.08,20.03,20.93,326089.0,1.0
2023-11-07,20.87,21.47,20.61,21.16,251958.0,1.0
2023-11-08,21.0,21.4,20.7,20.89,233948.0,1.0
2023-11-09,20.93,21.54,20.75,21.22,299072.0,1.0
2023-11-10,21.3,21.45,20.52,20.67,333885.0,1.0
2023-11-13,20.87,21.58,20.84,21.06,304357.0,1.0
2023-11-14,21.17,21.58,21.0,21.26,213561.0,1.0
2023-11-15,21.76,21.8,21.01,21.1,210021.0,1.0
2023-11-16,21.0,21.26,20.7,20.7,147714.0,1.0
2023-11-17,20.56,21.26,20.56,21.19,203355.0,1.0
2023-11-20,21.27,21.49,20.82,21.01,209604.0,1.0
2023-11-21,21.06,21.19,20.54,20.58,184957.0,1.0
2023-11-22,20.4,20.42,19.66,19.7,264811.0,1.0
2023-11-23,19.85,20.28,19.7,20.2,156612.0,1.0
2023-11-24,20.16,20.16,19.29,19.41,167114.0,1.0
2023-11-27,19.3,19.65,19.09,19.17,207368.0,1.0
2023-11-28,19.31,19.47,18.84,19.41,178738.0,1.0
2023-11-29,19.27,19.76,19.27,19.49,148799.0,1.0
2023-11-30,19.52,19.52,19.02,19.26,118812.0,1.0
2023-12-01,19.26,19.85,19.14,19.69,165267.0,1.0
2023-12-04,19.75,19.79,19.32,19.58,171871.0,1.0
2023-12-05,19.51,19.57,18.8,18.8,165629.0,1.0
2023-12-06,18.79,19.0,18.66,18.7,124631.0,1.0
2023-12-07,18.63,19.14,18.63,18.95,125728.0,1.0
2023-12-08,19.1,20.26,19.0,19.88,364993.0,1.0
2023-12-11,19.71,19.72,19.0,19.7,241854.0,1.0
2023-12-12,19.64,19.75,19.29,19.45,152656.0,1.0
2023-12-13,19.39,19.62,19.3,19.31,124678.0,1.0
2023-12-14,19.52,19.89,19.25,19.25,173389.0,1.0
2023-12-15,19.27,19.39,18.87,18.97,136112.0,1.0
2023-12-18,18.87,18.93,18.5,18.54,111521.0,1.0
2023-12-19,18.56,18.71,18.3,18.52,138269.0,1.0
2023-12-20,18.65,18.65,18.06,18.06,126262.0,1.0
2023-12-21,17.93,18.41,17.78,18.18,143792.0,1.0
2023-12-22,18.2,18.27,17.71,17.8,134677.0,1.0
2023-12-25,17.82,18.04,17.71,17.87,92794.0,1.0
2023-12-26,17.88,17.92,17.3,17.45,109000.0,1.0
2023-12-27,17.45,17.76,17.4,17.6,89877.0,1.0
2023-12-28,17.59,18.04,17.44,17.9,141843.0,1.0
2023-12-29,17.89,18.6,17.89,18.45,190536.0,1.0
2024-01-02,18.5,18.62,18.21,18.23,119039.0,1.0
2024-01-03,18.2,18.23,17.48,17.63,161376.0,1.0
2024-01-04,17.67,17.67,17.33,17.43,84731.0,1.0
2024-01-05,17.44,17.55,16.8,16.89,132426.0,1.0
2024-01-08,16.88,16.95,16.5,16.53,147994.0,1.0
2024-01-09,16.99,17.55,16.77,16.89,207063.0,1.0
2024-01-10,16.8,16.99,16.35,16.57,138546.0,1.0
2024-01-11,16.51,17.22,16.43,17.09,144757.0,1.0
2024-01-12,17.03,17.19,16.64,16.68,154408.0,1.0
2024-01-15,16.6,17.02,16.51,16.76,136906.0,1.0
2024-01-16,16.73,16.84,16.28,16.59,154644.0,1.0
2024-01-17,16.69,16.87,16.22,16.23,130565.0,1.0
2024-01-18,16.09,16.63,15.9,16.61,183926.0,1.0
2024-01-19,16.6,17.18,16.52,16.52,214905.0,1.0
2024-01-22,16.99,17.25,15.82,15.86,255111.0,1.0
2024-01-23,15.7,16.73,15.7,16.49,257245.0,1.0
2024-01-24,17.32,17.51,16.07,16.89,314609.0,1.0
2024-01-25,16.88,18.07,16.39,18.0,503264.0,1.0
2024-01-26,17.8,18.08,17.25,17.35,366014.0,1.0
2024-01-29,17.39,17.39,15.89,15.9,350966.0,1.0
2024-01-30,15.96,16.27,15.36,15.42,170068.0,1.0
2024-01-31,15.3,15.69,14.81,14.84,208778.0,1.0
2024-02-01,14.66,16.24,14.4,15.78,325499.0,1.0
2024-02-02,15.75,16.38,14.65,15.04,270433.0,1.0
2024-02-05,15.04,15.66,13.86,14.99,328502.0,1.0
2024-02-06,14.6,16.76,14.56,16.57,358631.0,1.0
2024-02-07,16.53,17.33,16.41,16.96,326120.0,1.0
2024-02-08,17.07,18.99,16.98,17.55,398250.0,1.0
2024-02-19,18.68,20.94,18.35,20.46,733652.0,1.0
2024-02-20,19.91,20.14,19.46,19.78,469677.0,1.0
2024-02-21,19.07,19.65,18.86,19.11,407934.0,1.0
2024-02-22,19.9,20.75,19.72,20.33,562685.0,1.0
2024-02-23,21.1,21.45,20.06,20.68,609306.0,1.0
2024-02-26,20.1,20.55,19.7,20.2,403135.0,1.0
2024-02-27,19.98,22.5,19.9,22.43,798242.0,1.0
2024-02-28,22.07,22.48,20.46,20.6,638977.0,1.0
2024-02-29,20.53,22.0,20.53,21.73,412525.0,1.0
2024-03-01,22.1,23.23,21.87,23.05,651821.0,1.0
2024-03-04,24.5,26.28,23.98,25.18,841839.0,1.0
2024-03-05,24.61,25.86,24.15,24.5,662583.0,1.0
2024-03-06,24.3,24.45,23.66,23.94,358296.0,1.0
2024-03-07,24.28,25.23,23.95,23.95,446306.0,1.0
2024-03-08,24.56,26.79,24.1,26.57,640758.0,1.0
2024-03-11,25.5,26.49,25.0,26.3,536300.0,1.0
2024-03-12,25.82,26.09,24.58,25.42,461704.0,1.0
2024-03-13,26.05,27.94,25.31,26.75,663107.0,1.0
2024-03-14,26.01,26.88,25.6,26.02,394432.0,1.0
2024-03-15,25.79,27.45,25.3,27.25,466798.0,1.0
2024-03-18,27.15,28.39,26.89,27.16,484056.0,1.0
2024-03-19,26.73,27.16,26.3,26.6,313996.0,1.0
2024-03-20,26.5,27.28,25.9,26.12,329950.0,1.0
2024-03-21,26.11,26.48,25.52,25.58,297896.0,1.0
2024-03-22,25.81,26.11,25.28,25.4,298118.0,1.0
2024-03-25,25.69,25.79,24.11,24.23,396960.0,1.0
2024-03-26,24.6,25.04,23.96,24.21,428281.0,1.0
2024-03-27,23.85,24.22,22.97,23.6,417216.0,1.0
2024-03-28,23.59,24.7,23.59,24.48,440648.0,1.0
2024-03-29,24.18,24.26,23.61,24.22,279171.0,1.0
2024-04-01,24.22,24.88,23.21,24.47,383510.0,1.0
2024-04-02,24.47,24.99,24.01,24.18,358061.0,1.0
2024-04-03,24.0,24.43,23.36,23.94,270229.0,1.0
2024-04-08,23.71,24.75,23.57,24.19,297008.0,1.0
2024-04-09,24.0,24.33,23.57,24.19,224114.0,1.0
2024-04-10,24.0,24.05,23.26,23.4,222339.0,1.0
2024-04-11,23.39,23.91,23.04,23.09,209891.0,1.0
2024-04-12,23.5,24.6,23.3,23.92,376502.0,1.0
2024-04-15,23.8,25.75,23.79,25.5,609099.0,1.0
2024-04-16,24.97,25.99,24.29,24.64,524062.0,1.0
2024-04-17,24.89,26.97,24.89,26.5,493588.0,1.0
2024-04-18,26.01,27.52,25.73,26.98,397299.0,1.0
2024-04-19,26.0,26.97,25.39,26.14,418449.0,1.0
2024-04-22,23.98,25.24,22.78,25.0,419825.0,1.0
2024-04-23,25.37,26.1,25.05,25.41,234547.0,1.0
2024-04-24,25.79,30.49,25.68,30.05,839457.0,1.0
2024-04-25,30.0,30.07,29.05,29.43,498290.0,1.0
2024-04-26,30.22,31.2,29.47,30.53,737692.0,1.0
2024-04-29,30.7,31.3,29.99,30.58,461866.0,1.0
2024-04-30,30.5,30.76,29.56,29.68,374326.0,1.0
2024-05-06,30.15,30.47,28.9,29.19,389092.0,1.0
2024-05-07,29.88,30.85,29.1,29.35,452966.0,1.0
2024-05-08,28.9,31.49,28.9,30.35,518337.0,1.0
2024-05-09,29.8,30.89,29.71,30.35,270055.0,1.0
2024-05-10,29.9,30.1,28.36,28.74,394884.0,1.0
2024-05-13,28.74,29.19,28.18,28.45,261997.0,1.0
2024-05-14,28.53,28.86,26.81,27.41,374509.0,1.0
2024-05-15,27.45,29.8,27.28,28.76,423333.0,1.0
2024-05-16,30.5,31.25,30.0,30.3,485551.0,1.0
2024-05-17,30.28,30.66,28.89,30.0,362339.0,1.0
2024-05-20,29.6,30.75,29.25,30.1,346216.0,1.0
2024-05-21,30.81,31.06,29.48,29.95,340247.0,1.0
2024-05-22,29.5,29.7,28.94,29.15,261584.0,1.0
2024-05-23,29.83,29.85,28.11,28.64,391315.0,1.0
2024-05-24,28.64,29.17,27.25,27.61,326738.0,1.0
2024-05-27,27.78,28.28,27.0,28.18,320624.0,1.0
2024-05-28,27.8,28.07,26.62,26.89,347890.0,1.0
2024-05-29,27.21,27.68,26.89,27.19,206021.0,1.0
2024-05-30,27.0,27.97,26.4,27.6,219090.0,1.0
2024-05-31,27.4,28.13,26.85,27.34,229827.0,1.0
2024-06-03,27.3,29.5,27.26,29.23,456712.0,1.0
2024-06-04,29.22,31.29,29.01,30.91,534181.0,1.0
2024-06-05,30.92,32.64,30.57,31.0,483127.0,1.0
2024-06-06,31.8,33.33,31.38,31.63,517692.0,1.0
2024-06-07,31.02,31.8,29.94,30.5,359568.0,1.0
2024-06-11,30.65,31.41,30.25,30.87,268617.0,1.0
2024-06-12,31.01,31.37,29.14,29.73,436633.0,1.0
2024-06-13,29.97,31.82,29.84,30.87,434144.0,1.0
2024-06-14,30.84,34.2,30.55,33.02,672163.0,1.0
2024-06-17,33.5,34.17,32.56,33.62,360729.0,1.0
2024-06-18,33.35,34.83,33.03,33.64,385562.0,1.0
2024-06-19,34.0,34.51,32.87,32.9,282563.0,1.0
2024-06-20,33.0,33.22,32.02,32.05,198649.0,1.0
2024-06-21,31.4,32.64,31.3,31.95,218211.0,1.0
2024-06-24,31.95,32.42,30.88,31.12,288461.0,1.0
2024-06-25,30.6,30.6,29.6,29.85,276404.0,1.0
2024-06-26,30.88,32.22,30.88,31.95,424066.0,1.0
2024-06-27,31.21,32.45,30.93,31.04,322275.0,1.0
2024-06-28,30.87,33.26,30.87,32.26,392522.0,1.0
2024-07-01,31.9,34.29,30.94,33.63,450875.0,1.0
2024-07-02,34.35,34.77,33.23,33.38,393172.0,1.0
2024-07-03,33.55,34.8,33.34,33.62,329038.0,1.0
2024-07-04,34.0,35.44,33.63,34.09,331117.0,1.0
2024-07-05,33.99,34.19,32.21,33.68,327296.0,1.0
2024-07-08,33.8,34.54,33.35,33.88,237257.0,1.0
2024-07-09,34.06,38.3,33.82,38.28,479274.0,1.0
2024-07-10,38.0,39.99,37.94,39.69,436646.0,1.0
2024-07-11,39.69,39.7,37.45,38.68,420949.0,1.0
2024-07-12,37.56,40.99,36.81,39.06,466578.0,1.0
2024-07-15,38.99,39.75,37.69,38.95,310014.0,1.0
2024-07-16,38.8,42.29,38.7,41.65,447317.0,1.0
2024-07-17,41.0,41.51,39.2,39.5,331117.0,1.0
2024-07-18,38.4,39.38,36.52,38.74,425898.0,1.0
2024-07-19,38.0,38.35,37.14,37.4,265531.0,1.0
2024-07-22,37.5,40.65,37.41,39.81,391258.0,1.0
2024-07-23,40.08,41.6,39.71,39.88,386960.0,1.0
2024-07-24,39.88,43.82,39.88,41.18,419964.0,1.0
2024-07-25,39.77,40.5,37.98,38.35,398012.0,1.0
2024-07-26,38.61,39.3,37.79,38.58,285305.0,1.0
2024-07-29,38.39,40.92,37.39,39.47,329867.0,1.0
2024-07-30,39.9,40.07,37.8,38.74,246654.0,1.0
2024-07-31,38.08,39.49,35.8,38.55,489589.0,1.0
2024-08-01,39.66,40.28,37.88,38.32,330291.0,1.0
2024-08-02,36.52,37.2,33.75,34.6,792921.0,1.0
2024-08-05,33.6,33.6,30.38,30.62,627306.0,1.0
2024-08-06,32.02,32.94,31.32,31.81,394836.0,1.0
2024-08-07,31.34,32.12,30.55,30.9,305888.0,1.0
2024-08-08,29.85,30.78,29.73,30.11,312011.0,1.0
2024-08-09,31.28,32.37,30.89,31.68,427377.0,1.0
2024-08-12,31.68,33.55,31.68,32.93,376225.0,1.0
2024-08-13,33.25,35.47,33.14,34.59,458646.0,1.0
2024-08-14,35.2,35.47,33.58,33.66,406334.0,1.0
2024-08-15,33.54,34.35,33.31,33.6,253439.0,1.0
2024-08-16,34.56,35.59,34.22,34.59,398535.0,1.0
2024-08-19,34.13,35.7,33.86,34.68,320427.0,1.0
2024-08-20,35.0,35.58,33.86,34.2,243351.0,1.0
2024-08-21,33.8,35.23,33.69,34.5,224007.0,1.0
2024-08-22,34.43,34.7,33.33,34.31,203984.0,1.0
2024-08-23,34.0,34.2,33.2,33.54,172769.0,1.0
2024-08-26,33.89,34.25,32.93,33.3,166436.0,1.0
2024-08-27,33.01,33.65,32.69,32.86,138652.0,1.0
2024-08-28,33.07,34.46,33.07,33.56,187788.0,1.0
2024-08-29,31.62,33.3,30.5,32.88,366041.0,1.0
2024-08-30,32.35,34.5,32.35,33.82,352212.0,1.0
2024-09-02,34.02,34.55,31.21,31.8,389088.0,1.0
2024-09-03,31.53,32.08,29.66,30.48,525869.0,1.0
2024-09-04,28.95,29.15,27.85,28.23,631487.0,1.0
2024-09-05,28.22,29.07,27.9,28.23,353221.0,1.0
2024-09-06,27.95,28.23,27.1,27.14,286660.0,1.0
2024-09-09,27.0,27.38,26.56,27.18,270118.0,1.0
2024-09-10,27.3,27.63,26.72,27.58,296487.0,1.0
2024-09-11,27.21,27.76,27.06,27.5,201526.0,1.0
2024-09-12,28.95,29.09,27.02,27.02,422304.0,1.0
2024-09-13,27.07,29.09,27.04,28.1,595043.0,1.0
2024-09-18,27.97,28.45,27.66,27.82,280894.0,1.0
2024-09-19,27.86,28.06,26.82,27.3,297427.0,1.0
2024-09-20,27.58,27.69,26.9,27.07,188593.0,1.0
2024-09-23,26.8,27.98,26.58,27.14,193339.0,1.0
2024-09-24,27.28,30.1,27.28,29.62,491637.0,1.0
2024-09-25,30.5,30.88,29.06,29.12,498393.0,1.0
2024-09-26,29.47,30.88,29.04,30.85,439691.0,1.0
2024-09-27,30.7,34.99,30.7,34.0,590612.0,1.0
2024-09-30,35.0,39.76,34.1,39.7,690147.0,1.0
2024-10-08,47.19,47.64,41.24,47.64,824131.0,1.0
2024-10-09,45.28,49.83,41.44,43.0,813511.0,1.0
2024-10-10,44.0,44.99,40.52,42.7,565776.0,1.0
2024-10-11,41.2,42.62,39.58,40.55,453629.0,1.0
2024-10-14,40.8,43.95,40.23,43.41,509513.0,1.0
